FP1-F7 delta,FP1-F7 theta,FP1-F7 alpha,FP1-F7 beta,F7-T7 delta,F7-T7 theta,F7-T7 alpha,F7-T7 beta,T7-P7 delta,T7-P7 theta,T7-P7 alpha,T7-P7 beta,P7-O1 delta,P7-O1 theta,P7-O1 alpha,P7-O1 beta,FP1-F3 delta,FP1-F3 theta,FP1-F3 alpha,FP1-F3 beta,F3-C3 delta,F3-C3 theta,F3-C3 alpha,F3-C3 beta,C3-P3 delta,C3-P3 theta,C3-P3 alpha,C3-P3 beta,P3-O1 delta,P3-O1 theta,P3-O1 alpha,P3-O1 beta,FP2-F4 delta,FP2-F4 theta,FP2-F4 alpha,FP2-F4 beta,F4-C4 delta,F4-C4 theta,F4-C4 alpha,F4-C4 beta,C4-P4 delta,C4-P4 theta,C4-P4 alpha,C4-P4 beta,P4-O2 delta,P4-O2 theta,P4-O2 alpha,P4-O2 beta,FP2-F8 delta,FP2-F8 theta,FP2-F8 alpha,FP2-F8 beta,F8-T8 delta,F8-T8 theta,F8-T8 alpha,F8-T8 beta,T8-P8 delta,T8-P8 theta,T8-P8 alpha,T8-P8 beta,P8-O2 delta,P8-O2 theta,P8-O2 alpha,P8-O2 beta,FZ-CZ delta,FZ-CZ theta,FZ-CZ alpha,FZ-CZ beta,CZ-PZ delta,CZ-PZ theta,CZ-PZ alpha,CZ-PZ beta,P7-T7 delta,P7-T7 theta,P7-T7 alpha,P7-T7 beta,T7-FT9 delta,T7-FT9 theta,T7-FT9 alpha,T7-FT9 beta,FT9-FT10 delta,FT9-FT10 theta,FT9-FT10 alpha,FT9-FT10 beta,FT10-T8 delta,FT10-T8 theta,FT10-T8 alpha,FT10-T8 beta,C4-P4 theta vs delta,T8-P8 theta vs delta,P7-O1 theta vs delta,FT9-FT10 theta vs alpha,FT9-FT10 theta vs beta,FT9-FT10 theta vs delta,FT9-FT10 alpha vs beta,FT9-FT10 alpha vs delta,FT9-FT10 beta vs delta,day,label,file,type
168.7183834,159.2586418,132.4681185,4.680327615,101.0173217,42.89042227,22.86841576,1.366861165,46.52316482,60.44714457,13.41184059,2.065953625,37.38188736,6.992766196,8.184798691,1.456766496,185.165439,120.9130958,245.9345431,8.033140745,41.73415706,112.2867897,57.30376171,3.135992117,15.75353859,21.92939387,41.88752798,2.571761012,69.01788145,20.84487987,36.55585258,2.932763001,148.1992573,197.8239167,275.7022751,6.557175808,197.2537756,267.632008,175.5209773,5.683507635,103.8348656,112.1393608,83.07768745,1.953256026,326.5531565,95.61312138,74.8526509,3.194834878,330.9102078,81.63909478,90.90782634,5.081378141,167.5810169,105.8364071,57.72184998,3.791520693,78.71495391,291.9136753,147.8357562,2.838340288,350.9019665,80.41386712,74.48363846,4.486084078,221.7812231,290.6050493,216.9092121,5.318971849,55.35019969,76.45873079,130.7179434,4.171980622,47.67710173,60.44715077,13.41186992,2.065953163,16.6310839,15.10515334,19.28355796,2.28174885,386.6100801,347.9740225,199.8261737,6.690514008,86.87510241,60.08301967,71.47166917,2.189362254,11643.97546,22977.9715,261.4027983,69534.31746,2328.125072,134530.2647,1336.939814,77254.81302,2586.620157,1,1,3,seizure
306.3009654,77.21508693,60.90265828,4.424189263,57.76087963,67.34371519,18.20518096,3.064970178,22.59590634,80.56040153,18.79526779,1.736083171,24.38336986,30.04717604,8.955195096,0.715439516,408.7866371,114.4601166,90.14929464,7.862448256,32.63756739,68.55127062,30.93711956,3.905474882,32.47525456,67.38223968,21.23957268,2.189787384,28.84939523,65.42910852,13.19956883,2.191973378,502.9770337,368.9883551,145.3651922,4.923059229,210.0542457,143.8817025,67.33966753,3.900135504,63.83277581,120.59628,78.55174163,3.255557672,170.763616,279.118508,80.60865584,2.332444871,203.1747936,110.3420422,69.42845353,2.736754225,83.5653356,128.5208171,69.56618372,3.274543768,222.9728284,290.4370539,149.4127659,2.452643504,266.2586484,239.2672007,122.6840052,3.834582714,101.2690648,76.42018951,46.62230969,3.553428368,48.98474958,136.4503654,63.04900914,2.946464197,23.14445244,80.56063959,18.79529135,1.736083924,14.42081908,41.11159659,15.40387284,3.108601784,209.1165703,269.7695238,129.3000386,6.494200776,130.5737617,107.3961124,39.85913524,1.292137478,7697.995305,64759.57138,732.6514066,34881.20984,1751.937451,56413.27759,839.700411,27038.78061,1358.044993,1,1,3,seizure
1099.752933,105.3948905,16.14510003,2.23402119,461.6193154,94.86967489,12.68461345,1.125519745,223.4018334,173.8117453,13.08035505,1.157817368,621.9394212,142.8110046,8.833946335,1.049760295,1283.162167,393.3250894,20.65075019,4.161774784,1348.028455,218.0158964,13.39525755,2.208549764,271.3137389,124.8648227,13.47243421,1.295754079,666.9156735,291.4617887,22.18631725,1.989750215,2676.905137,1319.132098,56.94727053,10.09392284,931.4257018,1009.675778,26.54933933,2.694815938,1383.409999,606.2210564,27.26126488,5.260365324,3917.050083,1556.618942,28.8850134,1.743725081,907.7435191,654.2555056,12.69925901,15.17224627,1598.394416,1320.986012,28.50435188,12.8417042,6146.171377,2070.867186,27.78673542,9.255808928,4249.722372,2119.429554,12.45167622,3.546190495,1044.094305,562.710298,27.34203754,1.646262737,806.007094,427.958586,28.36808839,2.847733211,222.7951347,173.8125988,13.08034424,1.157818085,93.57233405,57.01224632,9.946740174,1.320271323,5444.862789,2817.687782,48.07078593,9.608354067,882.3706039,493.2213089,12.03567912,7.924808493,838652.271,12727904.62,88819.79354,135448.4662,27073.34186,15341923.36,461.8811315,261738.8335,52316.16952,1,1,3,seizure
795.3041614,271.988142,18.68481954,17.02102516,438.0741776,305.4429308,25.05824494,10.06104564,423.7504735,280.2475648,50.29557379,1.199239402,968.9777079,281.6013652,4.818905207,0.830827195,1374.685062,767.1815752,72.77513859,20.82733126,1319.623381,678.6800801,22.65971506,12.91424386,647.1737176,263.7957856,12.53056366,2.625860272,1595.864141,445.6102546,35.71092844,1.720357036,1565.07876,685.8263985,79.0010581,13.28424321,3319.425893,1277.070558,35.66307569,8.585106899,3695.837851,1062.339424,48.62000873,6.893857573,6065.895345,1387.680871,47.47847787,3.174845626,3887.195574,2027.675479,73.90654082,67.80180577,4414.431393,1254.248068,115.670559,71.71325709,5682.434296,1984.844821,62.81183296,23.08447458,7196.059682,3836.025626,61.80953891,4.200278365,4215.419336,1598.298928,22.76387868,2.002685393,2224.986063,875.7375968,27.42160039,3.139638235,423.3064937,280.2473566,50.29559195,1.199238917,400.8367543,262.1618365,8.000961428,2.228470188,11233.83445,6105.785076,94.37741146,22.3540415,1071.475547,629.2181838,42.58016137,19.00098193,3926234.254,11278750.28,272865.4454,576248.1904,136488.973,68591378.73,2109.716572,1060220.216,251121.6015,1,1,3,seizure
1192.961706,254.7932069,15.28677035,7.089001547,621.657632,182.2938777,11.7542498,2.100338297,1302.99198,155.7919987,12.00763435,0.978918519,908.0204793,237.9586328,8.068181963,1.105968075,2052.394395,1062.4008,49.07987181,9.447712434,457.2537579,304.3433795,21.2053134,5.531836942,1478.737092,188.0803583,24.40766392,1.338830834,3043.118809,447.9701417,35.77995874,2.668222708,1812.615202,689.7102363,97.19734287,17.80755079,4722.684982,579.5215848,30.42709064,3.963819976,4678.49718,825.593596,69.92063291,4.164513743,6100.792678,856.4999697,60.45801847,5.252463749,5825.645228,996.9003115,38.52066275,30.04550852,10677.7858,1241.200438,47.55340658,28.87781787,5033.742814,817.0093215,23.96744139,13.2018825,7685.109907,2015.460601,97.02300027,4.963351737,2038.58675,439.4072193,21.68508695,1.746192809,3272.977294,620.1031658,60.6760075,3.303591723,1299.463056,155.7922491,12.00761877,0.978917802,496.0381961,185.3175362,3.642144026,1.565842552,6978.051431,1118.099696,43.58051865,11.46565558,1685.252305,469.633656,46.68055486,10.33344429,3862537.311,4112614.801,216071.3118,48727.36465,12819.74602,7802157.184,499.6792168,304107.1005,80007.93433,1,1,3,seizure
3312.854381,1019.728395,14.16610185,11.57393392,1813.625195,418.1453375,9.548236775,1.584796098,1383.90251,583.8482976,17.83216532,1.305730191,252.584603,70.03949085,4.276804205,1.196031865,1887.027972,1301.038011,31.48545196,16.01455747,1910.902214,745.2383812,22.20502621,3.011086994,1574.397765,545.1337381,13.84510433,1.366859069,2096.335444,698.911398,15.33810943,2.081140249,1646.636187,930.6450979,57.76952806,60.31809476,5687.818437,992.5090755,22.23377017,7.763118632,4467.036675,1235.239846,32.79900714,4.858941421,3817.019267,1297.880135,30.74618116,2.548488178,3655.503909,622.3058683,56.07788097,72.84189112,10136.46773,1587.269595,25.58009958,38.41558508,3045.768111,527.7406655,47.1773193,16.88150463,6621.091636,1594.186646,63.1761037,4.074687254,3306.415874,531.4198147,15.94397151,1.419983885,3454.533739,1257.742939,32.49667582,1.93414928,1383.353474,583.8483571,17.83217779,1.305729579,347.2298049,66.63778555,3.193840696,2.008240701,8510.237519,2056.562337,87.61498824,16.19507323,1531.060657,400.6189379,37.25304883,14.12221154,5517861.695,1607375.69,17690.89699,180185.685,33306.17765,17501833.96,1418.931151,745624.3601,137823.9198,1,1,3,seizure
2040.332538,430.5791322,19.48001551,20.5611813,618.9846947,200.616951,29.6345924,8.392855269,135.1041468,395.0665227,24.40267314,2.129077581,104.7631217,118.7429456,7.90263309,2.250774181,2446.327656,809.6759106,40.67779931,27.31345552,935.1988109,496.032371,72.68787856,11.89074745,298.4125446,270.8916041,20.93712154,2.221880199,717.2337393,134.7028727,15.69649662,3.811162864,2446.650237,388.4984784,52.61079364,76.76992998,1356.096266,1143.16249,76.93566066,11.66764554,485.4589131,202.827218,39.53853406,8.683985442,416.8118272,117.0339755,23.10047529,4.748149919,1458.936718,236.6296155,28.43630273,67.46670278,779.9448979,438.9604086,79.18009272,40.59508148,539.2688482,763.5220241,62.6349866,26.10703846,247.1392864,253.2258563,34.42374176,4.058399948,775.7389627,893.7324386,68.57066846,3.734837025,562.2151384,356.230297,49.75936739,4.683958608,133.5140259,395.0660952,24.40263786,2.129076621,451.3330711,176.8614127,7.306880618,2.163854569,1120.858087,1182.102924,95.27326055,22.73914617,130.8001831,171.0600638,22.54561536,20.18580611,98464.2808,411743.6425,12439.88166,112622.7999,26880.01118,1324969.622,2166.432598,106787.8046,25487.35588,1,1,3,seizure
1505.798958,506.5619538,23.57350211,49.0587312,819.2203461,551.9021506,9.526047337,2.008378614,588.96769,499.8340264,23.75541242,2.013950561,412.0695789,175.7374887,7.704765138,1.820311825,1743.604346,479.1587,34.27213775,86.93128032,1046.258452,637.8892281,34.52575612,6.915253349,574.9096338,290.9559055,22.96309061,2.366267765,765.3373547,389.1540266,17.47557316,3.897044953,736.474132,319.8739716,36.27956534,158.780797,2252.648392,799.4191011,51.54459235,10.9231878,551.3448729,187.3300033,7.5862338,5.081630615,731.4268623,196.5901171,27.81339877,5.75043334,563.5012902,307.3770241,28.35286717,116.9973151,1223.028491,416.5968387,33.25936028,52.67173298,790.0839088,1515.43364,114.3529668,41.25146787,639.8256902,150.4902955,28.70134684,6.312987114,1177.716074,510.0295251,35.26624281,2.20382467,1328.187243,481.3011718,25.94467055,3.075464873,586.1932997,499.8344823,23.75547914,2.013951509,283.5376742,154.6430451,10.47943136,2.635688828,1733.138702,1488.061908,92.92415477,22.95775881,128.1290093,148.9962693,18.26759168,26.30973216,103283.4369,1197319.734,72416.07297,138276.895,34162.56638,2579017.684,2133.330333,161050.449,39788.9803,1,1,3,seizure
1123.253524,385.2007642,26.75230372,34.08316994,479.6499479,404.6584047,21.24327981,3.4358938,483.0705384,348.0362488,18.90063549,2.090272043,84.61106112,97.3286488,6.591137087,1.598370227,633.2388859,185.2655404,26.47580307,50.6848802,428.3111158,603.3179384,26.12168254,5.735101746,447.8280573,234.6976483,28.96666523,1.842699592,314.6558044,92.11303386,12.73448426,4.514790014,1032.172239,883.1060957,41.74583357,97.35183024,283.8359627,677.1441788,32.92162738,13.01530049,447.0976211,196.4020179,29.16726146,6.697929456,384.8296943,235.6802249,22.451719,6.163557958,550.9741597,494.7944962,30.26220151,65.25530992,349.4071967,482.5010198,52.86200748,76.27999718,565.4600189,1313.400921,68.2486363,47.37418438,554.1725305,317.5155595,18.76824123,8.486697876,501.2769408,446.5969359,18.72765929,2.699908754,350.6387413,328.3914869,65.85205525,3.538241519,486.2362065,348.035394,18.90060958,2.09027132,329.1476845,151.3703241,6.962618424,2.390767806,1249.755255,1599.784553,33.33999717,17.86173992,120.5378563,235.6636767,18.02925833,34.46429527,87810.87498,742675.7096,8235.080252,53336.81247,28574.93561,1999339.152,595.5103584,41666.83666,22322.80333,1,1,3,seizure
1395.132734,866.276528,40.21637256,51.40279878,1533.121725,810.3002668,20.85789596,2.657302422,429.7132306,127.8303836,10.92185583,1.441179516,246.7136825,130.0350777,10.13275183,1.418255888,1610.065878,535.5577063,24.38530048,90.29042909,2032.371669,1077.885399,26.78011444,9.247986865,648.3982896,91.98131339,9.018646289,1.122278541,1088.278656,389.646803,15.71100294,2.826117141,1371.341373,727.2345346,49.62078905,343.1193837,1684.083913,654.1583673,77.78751772,21.78094625,578.9861192,138.1187118,11.23763018,5.691908872,770.8423616,263.191718,13.42566148,2.933695616,556.753812,303.6300954,36.68699877,169.7034461,1725.799945,763.3287744,92.59640174,36.93107318,304.6732663,247.6233418,63.66098143,29.00312805,705.3836449,307.1142805,35.8676474,5.339630182,995.8641344,857.6783682,48.21101495,3.13809492,1276.336121,217.7119243,29.4005876,2.561807669,428.679939,127.8299803,10.92186331,1.441178101,411.6377377,140.0332457,8.022397045,3.15339249,753.3370948,316.1441398,157.4831992,18.88383154,243.3279657,289.2420551,30.14729246,18.76814269,79968.81693,75444.21236,32081.43287,49787.39054,5970.012678,238163.1078,2973.886204,118637.9358,14225.89079,1,1,3,seizure
