FP1-F7 delta,FP1-F7 theta,FP1-F7 alpha,FP1-F7 beta,F7-T7 delta,F7-T7 theta,F7-T7 alpha,F7-T7 beta,T7-P7 delta,T7-P7 theta,T7-P7 alpha,T7-P7 beta,P7-O1 delta,P7-O1 theta,P7-O1 alpha,P7-O1 beta,FP1-F3 delta,FP1-F3 theta,FP1-F3 alpha,FP1-F3 beta,F3-C3 delta,F3-C3 theta,F3-C3 alpha,F3-C3 beta,C3-P3 delta,C3-P3 theta,C3-P3 alpha,C3-P3 beta,P3-O1 delta,P3-O1 theta,P3-O1 alpha,P3-O1 beta,FP2-F4 delta,FP2-F4 theta,FP2-F4 alpha,FP2-F4 beta,F4-C4 delta,F4-C4 theta,F4-C4 alpha,F4-C4 beta,C4-P4 delta,C4-P4 theta,C4-P4 alpha,C4-P4 beta,P4-O2 delta,P4-O2 theta,P4-O2 alpha,P4-O2 beta,FP2-F8 delta,FP2-F8 theta,FP2-F8 alpha,FP2-F8 beta,F8-T8 delta,F8-T8 theta,F8-T8 alpha,F8-T8 beta,T8-P8 delta,T8-P8 theta,T8-P8 alpha,T8-P8 beta,P8-O2 delta,P8-O2 theta,P8-O2 alpha,P8-O2 beta,FZ-CZ delta,FZ-CZ theta,FZ-CZ alpha,FZ-CZ beta,CZ-PZ delta,CZ-PZ theta,CZ-PZ alpha,CZ-PZ beta,P7-T7 delta,P7-T7 theta,P7-T7 alpha,P7-T7 beta,T7-FT9 delta,T7-FT9 theta,T7-FT9 alpha,T7-FT9 beta,FT9-FT10 delta,FT9-FT10 theta,FT9-FT10 alpha,FT9-FT10 beta,FT10-T8 delta,FT10-T8 theta,FT10-T8 alpha,FT10-T8 beta,label,file,type,C4-P4 theta vs delta,T8-P8 theta vs delta,P7-O1 theta vs delta,FT9-FT10 theta vs alpha,FT9-FT10 theta vs beta,FT9-FT10 theta vs delta,FT9-FT10 alpha vs beta,FT9-FT10 alpha vs delta,FT9-FT10 beta vs delta
738.1780922,159.0730607,20.72208758,6.816507149,56.5788654,45.47769653,5.528959006,0.892518518,33.21734781,14.43905622,6.820531007,0.773200981,761.7005913,30.08379496,13.01971631,0.852303132,949.4027233,194.429415,24.051014,8.315981496,1362.762902,13.09583795,8.662679316,1.423634572,627.6619928,23.77594615,25.8136477,1.168833163,1360.645828,48.21557692,11.5390946,0.838974215,664.2063758,136.6399643,38.42381362,7.368726624,39.73842638,36.92768778,35.33193007,2.067013901,2008.150911,34.18540065,7.734144537,1.266985391,11894.7617,110.4486535,21.9431126,3.80217964,228.8838762,130.83392,53.19276805,7.422255963,149.8900877,77.62406576,52.47948635,0.618626388,56.42275671,25.71821715,11.5054338,1.344162927,4168.533647,73.15361461,18.92174988,1.958428303,46.53216529,25.80008054,9.059697918,1.596883229,373.316543,61.19752165,12.61589557,1.771120056,32.20495186,14.43882721,6.820518002,0.773201625,68.06035028,11.06393519,4.657340756,0.422997099,114.5311124,29.98293204,21.91748403,1.65053498,113.0171167,30.74358249,24.75959509,0.312672653,0,17,day,68649.4434582,1451.09270927,22914.8444096,657.150434159,49.487878135,3433.97855955,36.1755740651,2510.23382697,189.037607315
16.25567362,12.82586725,5.682030324,17.62369092,25.51773422,20.19793362,23.5945223,0.857524831,104.6208538,30.67267773,17.17858754,1.2194018,172.983264,31.13416264,15.8247005,0.378956574,48.20465587,8.873721727,10.03220833,19.29218943,208.9823945,81.86841984,78.59642815,2.839164554,207.5086313,24.57838265,16.06415339,1.061731426,145.2608001,29.08214175,22.64207914,1.073720177,45.89420942,9.299625596,8.166662787,8.909650596,29.99742012,18.25065851,15.22371893,1.531928279,126.4451071,20.9276222,13.61534711,0.725698093,1171.41526,27.77088685,8.728726096,1.209020858,10.887825,9.395932391,7.937916424,8.236783501,22.47752287,11.7617549,6.417781217,1.079477259,52.98621286,12.66349709,1.848055391,0.734044878,516.8885102,18.95361773,13.76300394,0.495371962,87.61418455,32.88744038,22.5274288,1.37927418,169.8383704,37.72974495,9.799517899,1.200039297,107.1455412,30.67277285,17.17856442,1.219401918,23.36457458,8.288521721,8.986825443,0.449024439,56.42208762,13.67704639,6.693590395,0.842113127,25.08978316,4.56853939,3.493822536,0.428841181,0,17,day,2646.19543043,670.990752363,5385.68907537,91.5485463481,11.5176203036,771.687509799,5.63676033839,377.666343759,47.5137806375
29.1345491,21.50854794,7.919825625,9.832473793,43.88199649,29.58131409,8.431160522,0.928707233,116.4531702,34.81462417,11.9979538,0.734338817,54.9694714,29.05767877,9.172376443,1.104124618,67.5865085,49.08762273,7.110819755,10.15177735,113.8523659,46.57238249,25.94717591,2.484244,214.9914655,19.89962832,8.541936182,0.885869172,83.48917284,29.99423011,13.13464751,0.751456773,22.36750436,20.64860445,9.880738663,7.760562298,59.57739255,39.10905304,32.35559117,0.771468552,153.7567182,38.49552795,20.95395959,1.216405447,40.50347482,21.29390008,16.77885083,1.24089013,28.21224132,19.86844552,12.46415941,6.938638226,39.87663064,23.9015814,16.2055324,0.902624709,107.9897542,34.81176058,8.858630551,1.863112357,83.11955435,28.86280105,9.576058882,0.636589246,50.49498941,25.15297404,14.85101377,1.016156941,367.1983287,32.77128393,16.40778208,1.13337245,116.2357425,34.81446883,11.99792101,0.734339546,52.23736449,30.88618535,3.459742268,0.796204316,24.14416386,16.2449972,8.36404569,1.085634111,19.90255075,18.50737777,10.61600566,0.574290964,0,17,day,5918.94604297,3759.3134683,1597.2852421,135.873898815,17.6361230934,392.221874302,9.08029330703,201.942889672,26.211727868
515.4866837,84.36139042,8.874818749,5.216645203,76.44649661,32.2512908,14.76429448,0.876375333,110.5945663,27.42629845,18.78737674,0.962768097,136.5489842,129.1216192,22.10995571,0.839439989,658.0702486,85.94408989,8.057924396,6.410618639,20.48679086,52.51730152,60.31237941,1.426992701,171.9322892,25.73391244,10.48536498,1.342426911,139.1307193,74.03448453,10.59260164,1.282636709,720.3164665,86.24843951,10.35654536,8.665903888,77.57574663,38.63093742,16.80126397,1.259973414,112.6304429,35.30493898,13.14856043,2.329696001,195.727343,58.54997769,50.38340633,1.867380551,643.9454468,74.31779529,7.48174418,8.107976256,101.3739692,29.61396638,14.95948476,0.835418257,66.24330652,35.14350214,32.06222503,1.561729084,132.0791555,55.97118458,34.0324254,1.255702856,95.69699909,33.76987391,20.36693815,0.687704321,158.8482386,28.93007231,15.71802353,1.97643975,111.2253427,27.42649342,18.78735103,0.962767605,58.47883733,43.8194669,8.113957654,0.707993601,23.74266843,21.39739973,4.849445251,1.089527862,28.667799,19.12536896,18.80683861,0.630924432,0,17,day,3976.41091387,2328.02178445,17631.42594,103.765518504,23.3130631802,508.031367054,5.28360571621,115.138770664,25.8682987727
56.57469031,34.80035661,7.773551363,4.85812789,60.34151106,45.85134382,11.10931426,1.233164791,614.4956445,37.68810278,22.95428233,2.058813447,197.6844697,44.13624939,8.261251648,1.619724826,89.14934714,54.57769759,8.847156751,5.698329932,92.51083212,73.42081193,53.91945643,2.626432008,380.2310839,30.97331263,25.82423892,1.750695677,510.1740451,40.63799092,14.41887821,1.777190995,122.0389505,27.75586783,12.85275373,4.85494859,32.93869597,24.43828472,22.03280266,2.031812866,275.4954026,49.22680846,21.75094407,1.313834729,241.1118336,36.86384268,24.61058732,1.591393601,24.27568949,10.83227851,5.08494511,4.144682072,37.72796789,24.36349441,12.45072432,1.184667992,118.3660578,43.21961994,17.87963031,1.081040647,239.5727509,34.78198952,22.95857042,1.207391225,28.25391498,21.90252593,7.866036422,0.901385444,212.7590958,54.80182588,35.3811302,2.285207617,619.2357513,37.68782987,22.95431055,2.058813961,87.27734517,46.97154838,10.87942134,0.946715337,82.2395787,26.52941157,9.575583865,1.661941199,91.37638014,21.60978936,12.12355577,1.380806597,0,17,day,13561.7594154,5115.73603191,8725.05105521,254.034605378,44.0903220734,2181.76763068,15.9140573297,787.491982864,136.67734403
58.70050236,6.764717768,2.368056684,4.948311553,111.4606676,14.69428928,9.694500282,0.772270191,112.8251586,36.21155838,12.13056662,0.846436596,51.10654376,19.9192438,5.861287407,0.681733371,38.97367846,30.44508829,8.287992698,4.824492158,141.7150182,75.16615806,46.8692976,1.563852522,46.2132961,14.23626996,2.561033208,0.576649676,95.66854773,48.14258353,8.774399483,0.846329219,21.39432764,15.50937424,8.167013093,4.076031213,37.37563269,32.6061555,18.48553588,0.72521779,35.2831976,16.72121374,6.770955543,0.900490163,150.8864179,15.24257229,4.213143549,0.750499254,10.25913878,8.832529809,2.702103232,3.989701263,15.93931437,7.127319583,3.941120096,0.458284458,49.83798717,11.92575917,4.492867337,0.565540687,65.77975589,10.45737608,1.484503803,0.493304061,65.796339,58.88193669,27.85165369,0.881089245,85.47248225,34.19145253,12.37660995,1.403840371,109.9999782,36.21121564,12.1305603,0.846437971,52.30539954,18.20618398,5.121186343,0.490200995,63.30300091,7.841469926,4.388606878,1.117012614,7.851308,4.476611391,2.634223243,0.270797432,0,17,day,589.9778885,594.355832507,1018.00370493,34.4131288509,8.75902081964,496.388577861,4.90212924061,277.811985192,70.7102505205
640.2225275,58.6334795,34.23885705,23.13077513,63.67995068,30.02938306,6.540977643,23.46682486,226.0970385,66.79273089,12.11969246,5.893497439,346.1906154,64.73164727,24.64044977,1.274631908,541.2027189,47.67316934,13.35898684,5.73805713,648.2144278,25.58951042,26.5894532,2.404677071,186.6966386,20.9498765,7.734019683,1.034156645,529.9163579,42.79684054,28.58053185,1.024549227,509.2538151,48.53334189,20.32236093,4.1779433,31.72034125,17.50940795,12.63144372,1.316141977,1250.090106,17.42342267,13.58951601,0.922056527,4066.190005,39.35408506,18.10334626,1.623813568,480.3985913,30.53207627,11.14559396,4.122774405,87.24678695,5.195729234,2.789107027,1.573658453,64.67001426,9.069054492,2.316498376,2.509717492,1198.425642,21.04189723,7.709797101,1.464262248,21.67245223,12.96877439,3.493910492,0.685415415,399.7296076,22.55185149,8.317742886,1.000667222,224.8529968,66.79316822,12.11970986,5.893498434,101.5618498,23.00752484,9.884033362,7.446386954,156.6797881,86.54749213,10.94046025,7.901342934,44.29814287,8.617357498,3.115706846,2.531169534,0,17,day,21780.8482924,586.495883322,22409.4888043,946.869397385,683.841415397,13560.2427275,86.444328291,1714.14899369,1237.9807366
423.4922683,73.64316493,5.297543119,3.416568743,101.1808409,45.00460769,7.501847677,1.09524274,195.5099153,31.97684179,13.40577344,1.308745633,211.1975746,40.40730699,9.582230135,1.031994687,88.80141978,41.80192005,9.071550027,4.253220546,204.6808595,36.21989875,4.888688282,0.730148042,152.6482471,14.14466252,10.06840907,0.91416185,330.8047375,65.87855014,8.935805219,1.261562062,221.4570453,54.02493564,9.882609183,2.484878531,38.44984207,19.34048779,16.94529914,1.525545676,1280.888308,34.06505584,16.08356812,0.765607289,1933.973327,86.82901442,18.32158091,2.371508359,255.1480353,37.445589,6.32333073,2.49006259,35.6790003,20.55057765,18.58741613,2.128451252,354.4370934,22.92871877,24.48278897,1.354859903,892.283465,50.29033122,25.3678683,0.90458326,40.92249208,14.09961291,6.397258486,1.310543763,505.4628371,38.36780417,10.50957093,0.866037378,195.4849506,31.97659727,13.40575387,1.308746202,40.4339274,33.53821794,5.753642936,1.489884093,126.1394779,25.81733568,18.11317969,3.796120835,37.47081536,19.7928445,14.51317412,1.007921675,0,17,day,43633.5317368,8126.78843622,8533.92523241,467.634040289,98.005725879,3256.58524344,68.7598188093,2284.78702921,478.840700172
608.4715969,104.8059656,4.692648039,5.669510593,1248.972618,112.3136727,9.749377611,0.972587951,369.964789,17.69205978,24.24988264,0.949834405,107.992661,34.84823502,16.39693002,1.111711386,1619.533308,216.3079256,13.55163056,7.998335326,349.0909605,42.89501026,12.08591001,1.374504592,286.9064907,17.20468765,14.6861777,1.594209297,78.82618485,19.88544715,6.17198647,0.66430873,1213.198999,242.4009213,16.13773569,5.880171075,48.46649737,18.24564614,16.99063186,1.62429021,298.1496436,30.72796895,14.93693319,0.598456502,150.6910896,23.33205809,29.42522812,4.225024144,6309.684656,538.9040634,36.05830796,4.493145923,842.6997132,50.23642961,18.91099404,0.895048748,144.6697077,33.2638884,22.20182214,1.199051292,54.48501417,25.8427586,33.02648921,3.474579747,182.1353951,62.17408122,19.02262227,1.338367318,182.3532247,32.30837799,9.481399661,1.201983931,372.5307067,17.69193871,24.24986824,0.949835907,116.4830706,19.2698386,3.009046672,0.605190117,3392.513808,286.3556859,34.00948068,1.670380728,500.2096265,27.06773093,15.30962192,0.665803161,0,17,day,9161.53299099,4812.27701179,3763.35363096,9738.80816722,478.323019081,971465.618415,56.8087810972,115377.63281,5666.78968436
859.7905839,214.553143,8.645897745,3.954782426,193.4264547,65.34913381,17.47451012,1.031415752,91.78714594,14.33505992,8.008959038,0.791568866,211.0198177,45.00416792,29.29248326,0.710208146,1009.376182,224.0455478,7.859235077,3.890070204,66.93382943,50.02519336,41.37245205,1.25809211,214.3507237,21.459202,29.69539735,1.149738477,142.1187812,45.14136793,26.00597787,0.484202872,1473.396634,330.7395758,4.731003516,2.745872978,82.74550638,30.70897619,14.97313596,2.34243633,198.6742472,34.53922189,43.8842563,1.162327156,113.1111164,42.27081842,28.64928603,0.975951302,1383.824454,291.5600563,12.5362801,2.18881225,239.660628,69.4851469,7.854112665,0.614815037,67.90714774,14.20742707,10.92005128,0.733029246,88.16206281,21.08119568,25.83586514,0.882570025,67.10750981,55.4560051,36.39183809,1.55615029,103.0992104,13.61927468,22.37047138,1.525272264,91.51915515,14.3352236,8.008967519,0.791567868,55.46842982,50.87597675,14.56784091,0.422761184,47.0232001,17.91031125,29.48622047,0.791328481,10.08590622,3.769037227,8.593687971,0.502988498,0,17,day,6862.05390787,964.785849048,9496.77131022,528.107386204,14.1729393957,842.200149762,23.333286055,1386.53644535,37.2107975069
